Music,Private Room,Music Played,Mood,Music Genre
H0,Room2,yes,Sad,H0
MT,Room2,yes,Happy,3
H0,Room2,yes,Sad,H0
H0,Room2,yes,Neutral,H0
H0,Room2,yes,Happy,H0
BE,Room2,yes,Happy,3
,Room2,yes,Neutral,
BT,Room2,yes,Happy,1
BT,Room2,yes,Neutral,1
BT,Room2,yes,Sad,1
H0,Room2,yes,Neutral,H0
CL,Room2,yes,Happy,2
KE,Room2,yes,Happy,2
RO,Room2,yes,Happy,3
CN,Room2,yes,Happy,2
DU,Room2,yes,Sad,3
RO,Room2,yes,Neutral,3
H0,Room2,yes,Neutral,H0
VO,Room2,yes,Sad,2
EG,Room2,yes,Sad,3
,Room2,yes,Happy,
H0,Room2,yes,Sad,H0
H0,Room2,yes,Sad,H0
H0,Room2,yes,Neutral,H0
H0,Room2,yes,Sad,H0
CH,Room2,yes,Neutral,3
JE,Room2,yes,Neutral,3
AL,Room2,yes,Sad,3
TH,Room2,yes,Sad,2
H0,Room2,yes,Happy,H0
BT,Room2,yes,Neutral,1
GA,Room2,yes,Happy,2
SO,Room2,yes,Happy,2
H0,Room2,yes,Sad,H0
MT,Room2,yes,Neutral,3
PO,Room2,yes,Neutral,3
AV,Room2,yes,Sad,2
PO,Room2,yes,Happy,3
MA,Room2,yes,Sad,3
NN,Room2,yes,Neutral,1
RG,Room2,yes,Neutral,2
BL,Room2,yes,Sad,3
WE,Room2,yes,Happy,2
AV,Room2,yes,Neutral,2
H0,Room2,yes,Sad,H0
OR,Room2,yes,Neutral,3
BE,Room2,yes,Happy,3
UP,Room2,yes,Happy,1
UP,Room2,yes,Neutral,1
BU,Room2,yes,Sad,3
MT,Room2,yes,Neutral,3
H0,Room2,yes,Happy,H0
DA,Room2,yes,Sad,3
DA,Room2,yes,Happy,3
BU,Room2,yes,Happy,3
BZ,Room2,yes,Sad,3
H0,Room2,yes,Sad,H0
H0,Room2,yes,Sad,H0
LB,Room2,yes,Happy,1
H0,Room2,yes,Happy,H0
RO,Room2,yes,Happy,3
UP,Room2,yes,Sad,1
H0,Room2,yes,Happy,H0
WE,Room2,yes,Sad,2
ME,Room2,yes,Happy,1
H0,Room2,yes,Happy,H0
PU,Room2,yes,Sad,2
BU,Room2,yes,Happy,3
H0,Room2,yes,Happy,H0
H0,Room2,yes,Happy,H0
H0,Room2,yes,Happy,H0
H0,Room2,yes,Happy,H0
H0,Room2,yes,Sad,H0
MT,Room2,yes,Happy,3
BT,Room2,yes,Happy,1
BU,Room2,yes,Happy,3
NN,Room2,yes,Happy,1
H0,Room2,yes,Neutral,H0
ME,Room2,yes,Sad,1
H0,Room2,yes,Neutral,H0
WB,Room2,yes,Sad,3
NO,Room2,yes,Sad,3
AL,Room2,yes,Neutral,3
H0,Room2,yes,Neutral,H0
NN,Room2,yes,Sad,1
NN,Room2,yes,Neutral,1
UP,Room2,yes,Happy,1
SS,Room2,yes,Sad,2
BU,Room2,yes,Happy,3
AL,Room2,yes,Sad,3
IN,Room2,yes,Sad,3
SC,Room2,yes,Happy,2
SC,Room2,yes,Happy,2
SC,Room2,yes,Happy,2
WY,Room2,yes,Neutral,2
W1,Room2,yes,Sad,W1
CH,Room2,yes,Sad,3
S1,Room2,yes,Neutral,S1
WA,Room2,yes,Happy,3
CB,Room2,yes,Neutral,2
CB,Room2,yes,Sad,2
GR,Room2,yes,Neutral,2
EG,Room2,yes,Neutral,3
EG,Room2,yes,Happy,3
NN,Room2,yes,Sad,1
UP,Room2,yes,Neutral,1
LB,Room2,yes,Sad,1
LG,Room2,yes,Happy,3
NO,Room2,yes,Happy,3
NO,Room2,yes,Neutral,3
NO,Room2,yes,Neutral,3
NN,Room2,yes,Happy,1
H0,Room2,yes,Happy,H0
IN,Room2,yes,Happy,3
RG,Room2,yes,Sad,2
GR,Room2,yes,Sad,2
H0,Room2,yes,Neutral,H0
RG,Room2,yes,Sad,2
BZ,Room2,yes,Happy,3
H0,Room2,yes,Neutral,H0
LI,Room2,yes,Sad,1
S1,Room2,yes,Sad,S1
H0,Room2,yes,Happy,H0
BU,Room2,yes,Happy,3
IN,Room2,yes,Sad,3
UP,Room2,yes,Sad,1
ME,Room2,yes,Neutral,1
S1,Room2,yes,Happy,S1
WY,Room2,yes,Happy,2
H0,Room2,yes,Neutral,H0
IN,Room2,yes,Sad,3
H0,Room2,yes,Sad,H0
HE,Room2,yes,Happy,2
NO,Room2,yes,Sad,3
NO,Room2,yes,Sad,3
NO,Room2,yes,Sad,3
NO,Room2,yes,Neutral,3
NO,Room2,yes,Sad,3
NO,Room2,yes,Sad,3
NO,Room2,yes,Happy,3
NO,Room2,yes,Sad,3
AL,Room2,yes,Sad,3
JE,Room2,yes,Happy,3
H0,Room2,yes,Happy,H0
WE,Room2,yes,Happy,2
MA,Room2,yes,Happy,3
H0,Room2,yes,Sad,H0
W1,Room2,yes,Sad,W1
UP,Room2,yes,Happy,1
UP,Room2,yes,Sad,1
RO,Room2,yes,Sad,3
MT,Room2,yes,Sad,3
NO,Room2,yes,Happy,3
HA,Room2,yes,Happy,2
S1,Room2,yes,Neutral,S1
S1,Room2,yes,Happy,S1
MT,Room2,yes,Happy,3
H0,Room2,yes,Sad,H0
MT,Room2,yes,Sad,3
BU,Room2,yes,Happy,3
RO,Room2,yes,Sad,3
LG,Room2,yes,Happy,3
H0,Room2,yes,Neutral,H0
H0,Room2,yes,Neutral,H0
UP,Room2,yes,Happy,1
LG,Room2,yes,Neutral,3
AL,Room2,yes,Happy,3
UP,Room2,yes,Neutral,1
H0,Room2,yes,Sad,H0
S1,Room2,yes,Neutral,S1
BU,Room2,yes,Happy,3
UP,Room2,yes,Sad,1
BE,Room2,yes,Neutral,3
H0,Room2,yes,Happy,H0
RS,Room2,yes,Happy,3
UP,Room2,yes,Happy,1
RG,Room2,yes,Sad,2
H0,Room2,yes,Happy,H0
UP,Room2,yes,Happy,1
H0,Room2,yes,Happy,H0
LI,Room2,yes,Happy,1
H0,Room2,yes,Sad,H0
H0,Room2,yes,Neutral,H0
AV,Room2,yes,Happy,2
JE,Room2,yes,Happy,3
LG,Room2,yes,Sad,3
BL,Room2,yes,Happy,3
LB,Room2,yes,Neutral,1
NN,Room2,yes,Happy,1
HE,Room2,yes,Sad,2
UP,Room2,yes,Happy,1
H0,Room2,yes,Happy,H0
UP,Room2,yes,Happy,1
H0,Room2,yes,Neutral,H0
H0,Room2,yes,Sad,H0
H0,Room2,yes,Sad,H0
BZ,Room2,yes,Sad,3
H0,Room2,yes,Happy,H0
H0,Room2,yes,Happy,H0
S1,Room2,yes,Sad,S1
SC,Room2,yes,Neutral,2
H0,Room2,yes,Happy,H0
CL,Room2,yes,Neutral,2
WA,Room2,yes,Neutral,3
H0,Room2,yes,Neutral,H0
BU,Room2,yes,Sad,3
CL,Room2,yes,Happy,2
H0,Room2,yes,Neutral,H0
H0,Room2,yes,Happy,H0
BL,Room2,yes,Happy,3
WT,Room2,yes,Happy,1
BU,Room2,yes,Sad,3
NN,Room2,yes,Neutral,1
S1,Room2,yes,Neutral,S1
RM,Room2,yes,Sad,3
RO,Room2,yes,Sad,3
CH,Room2,yes,Sad,3
SS,Room2,yes,Neutral,2
BZ,Room2,yes,Happy,3
S1,Room2,yes,Sad,S1
H0,Room2,yes,Sad,H0
JE,Room2,yes,Neutral,3
HU,Room2,yes,Happy,3
NN,Room2,yes,Neutral,1
S1,Room2,yes,Sad,S1
WA,Room2,yes,Sad,3
H0,Room2,yes,Happy,H0
PW,Room2,yes,Sad,1
MT,Room2,yes,Sad,3
H0,Room2,yes,Neutral,H0
H0,Room2,yes,Happy,H0
H0,Room2,yes,Happy,H0
H0,Room2,yes,Sad,H0
H0,Room2,yes,Neutral,H0
H0,Room2,yes,Sad,H0
H0,Room2,yes,Happy,H0
AL,Room2,yes,Sad,3
PU,Room2,yes,Sad,2
H0,Room2,yes,Sad,H0
NO,Room2,yes,Neutral,3
H0,Room2,yes,Sad,H0
W1,Room2,yes,Happy,W1
H0,Room2,yes,Sad,H0
HU,Room2,yes,Happy,3
H0,Room2,yes,Neutral,H0
ME,Room2,yes,Happy,1
H0,Room2,yes,Sad,H0
AL,Room2,yes,Happy,3
S1,Room2,yes,Neutral,S1
H0,Room2,yes,Happy,H0
WB,Room2,yes,Sad,3
LO,Room2,yes,Sad,3
H0,Room2,yes,Happy,H0
,Room2,yes,Neutral,
W1,Room2,yes,Neutral,W1
W1,Room2,yes,Sad,W1
BZ,Room2,yes,Sad,3
BE,Room2,yes,Sad,3
BZ,Room2,yes,Happy,3
BU,Room2,yes,Happy,3
HU,Room2,yes,Sad,3
H0,Room2,yes,Sad,H0
H0,Room2,yes,Happy,H0
H0,Room2,yes,Happy,H0
MT,Room2,yes,Happy,3
GG,Room2,yes,Sad,2
LG,Room2,yes,Happy,3
H0,Room2,yes,Happy,H0
H0,Room2,yes,Neutral,H0
H0,Room2,yes,Happy,H0
LB,Room2,yes,Neutral,1
IN,Room2,yes,Sad,3
DA,Room2,yes,Sad,3
BT,Room2,yes,Sad,1
ED,Room2,yes,Happy,1
AL,Room2,yes,Neutral,3
H0,Room2,yes,Happy,H0
LB,Room2,yes,Sad,1
H0,Room2,yes,Happy,H0
ME,Room2,yes,Neutral,1
H0,Room2,yes,Happy,H0
MT,Room2,yes,Neutral,3
H0,Room2,yes,Neutral,H0
HU,Room2,yes,Sad,3
S1,Room2,yes,Happy,S1
ME,Room2,yes,Sad,1
SS,Room2,yes,Sad,2
H0,Room2,yes,Sad,H0
ME,Room2,yes,Sad,1
WA,Room2,yes,Sad,3
NN,Room2,yes,Neutral,1
AI,Room2,yes,Sad,3
BU,Room2,yes,Happy,3
CH,Room2,yes,Sad,3
ME,Room2,yes,Sad,1
ME,Room2,yes,Neutral,1
H0,Room2,yes,Neutral,H0
AL,Room2,yes,Happy,3
RO,Room2,yes,Sad,3
BE,Room2,yes,Neutral,3
BL,Room2,yes,Neutral,3
S1,Room2,yes,Sad,S1
BT,Room2,yes,Sad,1
MA,Room2,yes,Happy,3
MA,Room2,yes,Happy,3
LG,Room2,yes,Neutral,3
RO,Room2,yes,Sad,3
RO,Room2,yes,Sad,3
AL,Room2,yes,Happy,3
S1,Room2,yes,Happy,S1
SC,Room2,yes,Neutral,2
PW,Room2,yes,Happy,1
LO,Room2,yes,Happy,3
BZ,Room2,yes,Sad,3
DU,Room2,yes,Sad,3
GG,Room2,yes,Sad,2
H0,Room2,yes,Sad,H0
H0,Room2,yes,Happy,H0
EG,Room2,yes,Happy,3
RO,Room2,yes,Sad,3
RO,Room2,yes,Neutral,3
AL,Room2,yes,Happy,3
LI,Room2,yes,Happy,1
H0,Room2,yes,Happy,H0
BU,Room2,yes,Happy,3
AI,Room2,yes,Happy,3
LG,Room2,yes,Happy,3
LI,Room2,yes,Neutral,1
SO,Room2,yes,Neutral,2
GG,Room2,yes,Happy,2
NN,Room2,yes,Happy,1
OR,Room2,yes,Sad,3
NO,Room2,yes,Neutral,3
LI,Room2,yes,Sad,1
H0,Room2,yes,Happy,H0
WA,Room2,yes,Neutral,3
NO,Room2,yes,Happy,3
S1,Room2,yes,Happy,S1
NN,Room2,yes,Sad,1
BE,Room2,yes,Happy,3
AL,Room2,yes,Happy,3
S1,Room2,yes,Happy,S1
EG,Room2,yes,Happy,3
H0,Room2,yes,Sad,H0
ED,Room2,yes,Neutral,1
VO,Room2,yes,Happy,2
H0,Room2,yes,Neutral,H0
H0,Room2,yes,Happy,H0
CN,Room2,yes,Happy,2
S1,Room2,yes,Happy,S1
S1,Room2,yes,Happy,S1
NN,Room2,yes,Sad,1
WT,Room2,yes,Sad,1
WY,Room2,yes,Neutral,2
NN,Room2,yes,Sad,1
GR,Room2,yes,Happy,2
KI,Room2,yes,Sad,3
KI,Room2,yes,Sad,3
KI,Room2,yes,Sad,3
NN,Room2,yes,Neutral,1
CL,Room2,yes,Happy,2
H0,Room2,yes,Happy,H0
BL,Room2,yes,Neutral,3
KI,Room2,yes,Happy,3
MA,Room2,yes,Happy,3
EG,Room2,yes,Sad,3
BL,Room2,yes,Neutral,3
LI,Room2,yes,Sad,1
BE,Room2,yes,Happy,3
GR,Room2,yes,Happy,2
MC,Room2,yes,Sad,2
MT,Room2,yes,Neutral,3
S1,Room2,yes,Sad,S1
BR,Room2,yes,Sad,2
BR,Room2,yes,Neutral,2
BR,Room2,yes,Sad,2
BR,Room2,yes,Neutral,2
BR,Room2,yes,Neutral,2
MT,Room2,yes,Neutral,3
VO,Room2,yes,Neutral,2
VO,Room2,yes,Sad,2
VO,Room2,yes,Happy,2
VO,Room2,yes,Sad,2
VO,Room2,yes,Neutral,2
VO,Room2,yes,Sad,2
LI,Room2,yes,Sad,1
VO,Room2,yes,Happy,2
VO,Room2,yes,Neutral,2
VO,Room2,yes,Sad,2
VO,Room2,yes,Happy,2
VO,Room2,yes,Sad,2
VO,Room2,yes,Happy,2
VO,Room2,yes,Sad,2
VO,Room2,yes,Happy,2
VO,Room2,yes,Sad,2
VO,Room2,yes,Neutral,2
LI,Room2,yes,Happy,1
S1,Room2,yes,Neutral,S1
S1,Room2,yes,Neutral,S1
S1,Room2,yes,Happy,S1
S1,Room2,yes,Neutral,S1
BU,Room2,yes,Neutral,3
BU,Room2,yes,Sad,3
BU,Room2,yes,Happy,3
BU,Room2,yes,Happy,3
H0,Room2,yes,Happy,H0
ME,Room2,yes,Neutral,1
H0,Room2,yes,Sad,H0
H0,Room2,yes,Sad,H0
H0,Room2,yes,Happy,H0
LG,Room2,yes,Sad,3
HE,Room2,yes,Happy,2
WA,Room2,yes,Happy,3
WT,Room2,yes,Neutral,1
WA,Room2,yes,Sad,3
SO,Room2,yes,Happy,2
SC,Room2,yes,Happy,2
H0,Room2,yes,Neutral,H0
WA,Room2,yes,Happy,3
H0,Room2,yes,Sad,H0
WY,Room2,yes,Sad,2
BZ,Room2,yes,Happy,3
H0,Room2,yes,Sad,H0
RS,Room2,yes,Happy,3
H0,Room2,yes,Neutral,H0
EG,Room2,yes,Sad,3
LG,Room2,yes,Happy,3
H0,Room2,yes,Happy,H0
BZ,Room2,yes,Neutral,3
EG,Room2,yes,Happy,3
AL,Room2,yes,Happy,3
AL,Room2,yes,Neutral,3
BE,Room2,yes,Sad,3
MT,Room2,yes,Happy,3
BU,Room2,yes,Neutral,3
PO,Room2,yes,Happy,3
PO,Room2,yes,Neutral,3
H0,Room2,yes,Happy,H0
HU,Room2,yes,Happy,3
AL,Room2,yes,Happy,3
H0,Room2,yes,Happy,H0
H0,Room2,yes,Sad,H0
H0,Room2,yes,Sad,H0
NN,Room2,yes,Sad,1
H0,Room2,yes,Sad,H0
H0,Room2,yes,Happy,H0
H0,Room2,yes,Sad,H0
PW,Room2,yes,Neutral,1
H0,Room2,yes,Sad,H0
H0,Room2,yes,Neutral,H0
H0,Room2,yes,Neutral,H0
BZ,Room2,yes,Sad,3
SC,Room2,yes,Sad,2
BL,Room2,yes,Neutral,3
EG,Room2,yes,Sad,3
AI,Room2,yes,Happy,3
BT,Room2,yes,Sad,1
H0,Room2,yes,Sad,H0
MT,Room2,yes,Neutral,3
RS,Room2,yes,Neutral,3
RG,Room2,yes,Sad,2
H0,Room2,yes,Happy,H0
SS,Room2,yes,Happy,2
NO,Room2,yes,Sad,3
H0,Room2,yes,Neutral,H0
KI,Room2,yes,Happy,3
H0,Room2,yes,Happy,H0
IN,Room2,yes,Happy,3
IN,Room2,yes,Sad,3
BT,Room2,yes,Neutral,1
H0,Room2,yes,Sad,H0
H0,Room2,yes,Happy,H0
BZ,Room2,yes,Neutral,3
TH,Room2,yes,Sad,2
H0,Room2,yes,Happy,H0
BU,Room2,yes,Sad,3
RO,Room2,yes,Happy,3
KI,Room2,yes,Happy,3
AL,Room2,yes,Neutral,3
NN,Room2,yes,Happy,1
NN,Room2,yes,Happy,1
WT,Room2,yes,Happy,1
H0,Room2,yes,Sad,H0
BU,Room2,yes,Happy,3
BL,Room2,yes,Sad,3
BL,Room2,yes,Neutral,3
LG,Room2,yes,Sad,3
H0,Room2,yes,Sad,H0
KI,Room2,yes,Neutral,3
AL,Room2,yes,Happy,3
LI,Room2,yes,Happy,1
LI,Room2,yes,Happy,1
AL,Room2,yes,Happy,3
CL,Room2,yes,Sad,2
WB,Room2,yes,Happy,3
WE,Room2,yes,Neutral,2
H0,Room2,yes,Happy,H0
H0,Room2,yes,Sad,H0
H0,Room2,yes,Sad,H0
CN,Room2,yes,Happy,2
H0,Room2,yes,Sad,H0
H0,Room2,yes,Sad,H0
GM,Room2,yes,Neutral,2
LI,Room2,yes,Neutral,1
LI,Room2,yes,Happy,1
EG,Room2,yes,Sad,3
AI,Room2,yes,Happy,3
AI,Room2,yes,Neutral,3
AI,Room2,yes,Neutral,3
S1,Room2,yes,Sad,S1
H0,Room2,yes,Happy,H0
NO,Room2,yes,Sad,3
EG,Room2,yes,Neutral,3
JE,Room2,yes,Happy,3
BP,Room2,yes,Neutral,2
BL,Room2,yes,Neutral,3
BL,Room2,yes,Sad,3
BL,Room2,yes,Neutral,3
BL,Room2,yes,Neutral,3
ME,Room2,yes,Sad,1
MT,Room2,yes,Happy,3
AV,Room2,yes,Neutral,2
AV,Room2,yes,Sad,2
JE,Room2,yes,Happy,3
PW,Room2,yes,Happy,1
LV,Room2,yes,Happy,2
H0,Room2,yes,Neutral,H0
BZ,Room2,yes,Happy,3
BU,Room2,yes,Sad,3
VO,Room2,yes,Sad,2
H0,Room2,yes,Happy,H0
JE,Room2,yes,Sad,3
BL,Room2,yes,Happy,3
LG,Room2,yes,Sad,3
H0,Room2,yes,Sad,H0
MC,Room2,yes,Sad,2
AR,Room2,yes,Happy,2
LB,Room2,yes,Sad,1
AL,Room2,yes,Happy,3
WT,Room2,yes,Sad,1
WT,Room2,yes,Sad,1
WT,Room2,yes,Happy,1
WB,Room2,yes,Neutral,3
LG,Room2,yes,Sad,3
W1,Room2,yes,Sad,W1
AU,Room2,yes,Sad,2
H0,Room2,yes,Sad,H0
IN,Room2,yes,Sad,3
VO,Room2,yes,Neutral,2
H0,Room2,yes,Neutral,H0
BE,Room2,yes,Happy,3
LB,Room2,yes,Happy,1
BL,Room2,yes,Happy,3
WT,Room2,yes,Sad,1
H0,Room2,yes,Sad,H0
BZ,Room2,yes,Happy,3
BP,Room2,yes,Neutral,2
H0,Room2,yes,Sad,H0
CN,Room2,yes,Happy,2
BT,Room2,yes,Happy,1
H0,Room2,yes,Sad,H0
H0,Room2,yes,Sad,H0
H0,Room2,yes,Happy,H0
ME,Room2,yes,Neutral,1
WT,Room2,yes,Neutral,1
BT,Room2,yes,Sad,1
BT,Room2,yes,Sad,1
NO,Room2,yes,Happy,3
BZ,Room2,yes,Neutral,3
H0,Room2,yes,Happy,H0
HU,Room2,yes,Neutral,3
KI,Room2,yes,Happy,3
RS,Room2,yes,Neutral,3
H0,Room2,yes,Happy,H0
VO,Room2,yes,Neutral,2
CN,Room2,yes,Sad,2
LG,Room2,yes,Sad,3
H0,Room2,yes,Happy,H0
IN,Room2,yes,Sad,3
H0,Room2,yes,Sad,H0
EG,Room2,yes,Neutral,3
DO,Room2,yes,Sad,2
EG,Room2,yes,Happy,3
H0,Room2,yes,Sad,H0
IN,Room2,yes,Sad,3
H0,Room2,yes,Happy,H0
UP,Room2,yes,Happy,1
ED,Room2,yes,Happy,1
ED,Room2,yes,Happy,1
ED,Room2,yes,Happy,1
AI,Room2,yes,Happy,3
LI,Room2,yes,Sad,1
DA,Room2,yes,Happy,3
W1,Room2,yes,Happy,W1
NO,Room2,yes,Sad,3
EG,Room2,yes,Neutral,3
DA,Room2,yes,Sad,3
H0,Room2,yes,Neutral,H0
BT,Room2,yes,Happy,1
H0,Room2,yes,Happy,H0
HE,Room2,yes,Sad,2
H0,Room2,yes,Happy,H0
WB,Room2,yes,Sad,3
EG,Room2,yes,Neutral,3
WB,Room2,yes,Happy,3
WB,Room2,yes,Sad,3
MT,Room2,yes,Sad,3
H0,Room2,yes,Sad,H0
GR,Room2,yes,Sad,2
NN,Room2,yes,Neutral,1
BT,Room2,yes,Happy,1
AR,Room2,yes,Happy,2
S1,Room2,yes,Sad,S1
H0,Room2,yes,Sad,H0
DU,Room2,yes,Happy,3
AI,Room2,yes,Happy,3
GM,Room2,yes,Happy,2
KE,Room2,yes,Sad,2
BU,Room2,yes,Happy,3
H0,Room2,yes,Happy,H0
KI,Room2,yes,Happy,3
AR,Room2,yes,Neutral,2
ED,Room2,yes,Sad,1
AR,Room2,yes,Happy,2
H0,Room2,yes,Sad,H0
H0,Room2,yes,Sad,H0
H0,Room2,yes,Sad,H0
H0,Room2,yes,Sad,H0
AV,Room2,yes,Happy,2
H0,Room2,yes,Happy,H0
RG,Room2,yes,Happy,2
DA,Room2,yes,Sad,3
AV,Room2,yes,Sad,2
BU,Room2,yes,Neutral,3
HU,Room2,yes,Happy,3
RO,Room2,yes,Sad,3
MT,Room2,yes,Sad,3
EG,Room2,yes,Sad,3
H0,Room2,yes,Neutral,H0
S1,Room2,yes,Sad,S1
BU,Room2,yes,Happy,3
WT,Room2,yes,Happy,1
BT,Room2,yes,Happy,1
PO,Room2,yes,Sad,3
MA,Room2,yes,Happy,3
WA,Room2,yes,Neutral,3
LE,Room2,yes,Happy,2
RO,Room2,yes,Neutral,3
EG,Room2,yes,Neutral,3
BL,Room2,yes,Sad,3
OR,Room2,yes,Neutral,3
H0,Room2,yes,Sad,H0
H0,Room2,yes,Happy,H0
H0,Room2,yes,Neutral,H0
BE,Room2,yes,Happy,3
IN,Room2,yes,Sad,3
UP,Room2,yes,Happy,1
BT,Room2,yes,Happy,1
GG,Room2,yes,Happy,2
LO,Room2,yes,Sad,3
,Room2,yes,Sad,
LB,Room2,yes,Happy,1
BL,Room2,yes,Sad,3
S1,Room2,yes,Happy,S1
EG,Room2,yes,Sad,3
EG,Room2,yes,Happy,3
EG,Room2,yes,Neutral,3
EG,Room2,yes,Happy,3
EG,Room2,yes,Happy,3
H0,Room2,yes,Sad,H0
BU,Room2,yes,Neutral,3
H0,Room2,yes,Happy,H0
RO,Room2,yes,Happy,3
SC,Room2,yes,Happy,2
MC,Room2,yes,Sad,2
BZ,Room2,yes,Happy,3
BT,Room2,yes,Sad,1
AL,Room2,yes,Happy,3
H0,Room2,yes,Sad,H0
BU,Room2,yes,Sad,3
CH,Room2,yes,Neutral,3
ED,Room2,yes,Happy,1
ED,Room2,yes,Happy,1
JE,Room2,yes,Neutral,3
EG,Room2,yes,Sad,3
S1,Room2,yes,Sad,S1
H0,Room2,yes,Neutral,H0
H0,Room2,yes,Neutral,H0
OR,Room2,yes,Sad,3
BT,Room2,yes,Happy,1
LI,Room2,yes,Sad,1
GG,Room2,yes,Happy,2
BZ,Room2,yes,Sad,3
H0,Room2,yes,Neutral,H0
PO,Room2,yes,Sad,3
CN,Room2,yes,Happy,2
CN,Room2,yes,Sad,2
BT,Room2,yes,Happy,1
ED,Room2,yes,Neutral,1
EG,Room2,yes,Happy,3
JE,Room2,yes,Sad,3
LV,Room2,yes,Sad,2
WA,Room2,yes,Sad,3
ME,Room2,yes,Sad,1
AL,Room2,yes,Happy,3
NO,Room2,yes,Neutral,3
HU,Room2,yes,Happy,3
BT,Room2,yes,Sad,1
IN,Room2,yes,Sad,3
DA,Room2,yes,Happy,3
WT,Room2,yes,Happy,1
BT,Room2,yes,Happy,1
LB,Room2,yes,Sad,1
S1,Room2,yes,Sad,S1
RO,Room2,yes,Happy,3
LG,Room2,yes,Happy,3
UP,Room2,yes,Sad,1
H0,Room2,yes,Happy,H0
DO,Room2,yes,Happy,2
MT,Room2,yes,Sad,3
BZ,Room2,yes,Sad,3
ME,Room2,yes,Sad,1
H0,Room2,yes,Happy,H0
S1,Room2,yes,Happy,S1
CB,Room2,yes,Neutral,2
H0,Room2,yes,Sad,H0
DU,Room2,yes,Neutral,3
DA,Room2,yes,Sad,3
BP,Room2,yes,Sad,2
UP,Room2,yes,Sad,1
S1,Room2,yes,Neutral,S1
KI,Room2,yes,Neutral,3
KI,Room2,yes,Neutral,3
H0,Room2,yes,Sad,H0
LI,Room2,yes,Neutral,1
BT,Room2,yes,Neutral,1
LG,Room2,yes,Sad,3
PW,Room2,yes,Sad,1
ME,Room2,yes,Neutral,1
H0,Room2,yes,Happy,H0
DA,Room2,yes,Happy,3
LG,Room2,yes,Neutral,3
H0,Room2,yes,Happy,H0
H0,Room2,yes,Happy,H0
LB,Room2,yes,Sad,1
H0,Room2,yes,Sad,H0
MT,Room2,yes,Neutral,3
NN,Room2,yes,Neutral,1
H0,Room2,yes,Sad,H0
BU,Room2,yes,Sad,3
EG,Room2,yes,Sad,3
MM,Room2,yes,Happy,3
RG,Room2,yes,Neutral,2
CL,Room2,yes,Happy,2
BU,Room2,yes,Happy,3
GR,Room2,yes,Sad,2
H0,Room2,yes,Happy,H0
RM,Room2,yes,Sad,3
BT,Room2,yes,Happy,1
UP,Room2,yes,Neutral,1
RG,Room2,yes,Happy,2
LG,Room2,yes,Sad,3
MM,Room2,yes,Sad,3
NO,Room2,yes,Sad,3
GR,Room2,yes,Neutral,2
DU,Room2,yes,Happy,3
DU,Room2,yes,Sad,3
BZ,Room2,yes,Sad,3
BZ,Room2,yes,Sad,3
H0,Room2,yes,Neutral,H0
BU,Room2,yes,Neutral,3
NO,Room2,yes,Sad,3
W1,Room2,yes,Sad,W1
NO,Room2,yes,Sad,3
,Room2,yes,Neutral,
H0,Room2,yes,Sad,H0
ED,Room2,yes,Sad,1
PW,Room2,yes,Sad,1
BZ,Room2,yes,Neutral,3
KI,Room2,yes,Happy,3
H0,Room2,yes,Happy,H0
WT,Room2,yes,Sad,1
OR,Room2,yes,Sad,3
BL,Room2,yes,Sad,3
BL,Room2,yes,Neutral,3
RS,Room2,yes,Neutral,3
NO,Room2,yes,Happy,3
MT,Room2,yes,Neutral,3
H0,Room2,yes,Sad,H0
S1,Room2,yes,Neutral,S1
ME,Room2,yes,Neutral,1
LB,Room2,yes,Sad,1
S1,Room2,yes,Happy,S1
EG,Room2,yes,Happy,3
RO,Room2,yes,Neutral,3
LG,Room2,yes,Sad,3
EG,Room2,yes,Neutral,3
BE,Room2,yes,Neutral,3
BT,Room2,yes,Happy,1
EG,Room2,yes,Sad,3
H0,Room2,yes,Happy,H0
S1,Room2,yes,Happy,S1
LB,Room2,yes,Happy,1
LB,Room2,yes,Sad,1
H0,Room2,yes,Neutral,H0
BZ,Room2,yes,Sad,3
CN,Room2,yes,Happy,2
BL,Room2,yes,Neutral,3
BL,Room2,yes,Happy,3
RO,Room2,yes,Happy,3
H0,Room2,yes,Happy,H0
EG,Room2,yes,Happy,3
NN,Room2,yes,Happy,1
IN,Room2,yes,Sad,3
LG,Room2,yes,Sad,3
BU,Room2,yes,Sad,3
S1,Room2,yes,Neutral,S1
RM,Room2,yes,Happy,3
DA,Room2,yes,Neutral,3
H0,Room2,yes,Neutral,H0
H0,Room2,yes,Neutral,H0
WW,Room2,yes,Neutral,2
UP,Room2,yes,Sad,1
AV,Room2,yes,Sad,2
LG,Room2,yes,Sad,3
MT,Room2,yes,Happy,3
S1,Room2,yes,Neutral,S1
S1,Room2,yes,Happy,S1
WB,Room2,yes,Happy,3
GR,Room2,yes,Sad,2
AL,Room2,yes,Sad,3
NN,Room2,yes,Sad,1
WT,Room2,yes,Happy,1
H0,Room2,yes,Sad,H0
H0,Room2,yes,Sad,H0
LB,Room2,yes,Happy,1
BU,Room2,yes,Happy,3
WA,Room2,yes,Neutral,3
NO,Room2,yes,Sad,3
WB,Room2,yes,Happy,3
BU,Room2,yes,Happy,3
IN,Room2,yes,Happy,3
LG,Room2,yes,Neutral,3
H0,Room2,yes,Happy,H0
WT,Room2,yes,Sad,1
NN,Room2,yes,Happy,1
