Age,Brightness,Temperature,Humidity,Meal Carbs,Meal Calories,Meal Protain,Expense
100,29.05,64.34,5.45,7.2,183.47,361.692,69.44444444
90.8,25.79,67.82,4.314,7.5,181.95,216.684,66.66666667
89.1,26.64,53.04,25.472,10.4,164.75,58.812,48.07692308
100,20.62,59.57,3.29,8.8,180.26,40.682,56.81818182
76.5,22.74,68.24,9.69,8.4,179.4,236.246,59.52380952
100,15.02,64.11,63.75,16.7,185.89,221.748,29.94011976
95.3,15.7,60.06,63.996,14.2,187.46,140.4518,35.21126761
87.6,14.1,56.48,58.31,20.8,195.12,240.964,24.03846154
85.1,23.29,61.03,0.504,13.4,202.18,141.0084,37.31343284
70.6,17.16,55.65,0.73,11.7,206.35,175.8424,42.73504274
95.4,24.39,58.96,1.536,8.3,190.96,317.206,60.24096386
59.7,15.69,58.37,4.93,10.2,199.76,244.944,49.01960784
78.7,14.52,62.02,3.764,10.9,186.29,53.238,45.87155963
78.1,21.52,61.93,19.346,11,193.56,147.3422,45.45454545
95.6,24.08,63.8,12.144,9.5,196.82,186.7778,52.63157895
86.1,17.64,63.48,16.69,14.5,205.27,169.8426,34.48275862
94.3,19.69,68.33,16.266,14.1,208.82,201.246,35.46099291
74.8,12.03,64.25,19.59,16.1,220.04,128.881,31.05590062
87.9,16.22,64.36,20.038,14.3,231.58,111.6214,34.96503497
95,15.17,62.08,20.126,11.7,222.22,278.268,42.73504274
94.6,23.27,66.29,21.97,13.4,212.47,223.208,37.31343284
93.3,18.05,64.61,5.498,9.6,200.26,288.416,52.08333333
100,26.45,61.52,1.864,8.7,191.42,303.544,57.47126437
87.9,34.02,59.35,13.79,8.4,182.06,273.562,59.52380952
93.9,22.88,56.27,79.38,12.8,181.72,187.8126,39.0625
92.4,22.11,58.18,78.29,10.5,186.62,441.022,47.61904762
97.2,19.52,64.06,77.192,17.1,206.51,194.4836,29.23976608
100,16.59,62.19,79.138,18.4,200.48,113.3274,27.17391304
100,18.85,64.85,77.346,15.4,197.84,199.3308,32.46753247
96.6,23.79,58.54,48.104,10.8,189.56,256.046,46.2962963
94.8,23.98,64.59,8.612,11.8,198.79,213.436,42.37288136
96.4,17.79,63.41,63.602,14.9,207.2,125.7614,33.55704698
96.6,16.44,62.51,77.704,12.6,219.8,198.497,39.68253968
98.7,18.13,61.85,79.38,14.1,226.16,186.5818,35.46099291
98.3,19.31,64.17,60.842,13,218.5,150.5202,38.46153846
92.6,17.44,67.49,0.064,13.4,232.36,134.3544,37.31343284
98.2,17.73,66.55,71.058,15.2,235.52,108.8228,32.89473684
91.8,17.27,62.97,77.018,16.1,236.82,101.8034,31.05590062
99.3,16.74,73.93,75.174,17.8,245.27,164.9618,28.08988764
94.1,18.71,67.28,1.336,14.9,249.61,190.2726,33.55704698
86.5,18.13,65.25,10.184,14.1,243.58,95.0474,35.46099291
87.9,19.01,59.76,2.096,12.7,258.06,93.3766,39.37007874
80.3,16.94,59.36,0.7,13.5,277.92,164.0116,37.03703704
83.7,16.23,63.01,54.442,14.9,278.31,155.0446,33.55704698
84.4,14.7,60.81,79.38,20,271.75,136.0234,25
90,16.42,67.01,51.046,16.4,259.75,96.2426,30.48780488
88.4,14.65,63.76,78.286,17.7,256.71,73.8622,28.24858757
83,13.99,63.17,79.38,19.5,273.44,133.0984,25.64102564
89.9,10.29,65.13,78.764,20.2,280.16,116.423,24.75247525
65.4,13.22,62.09,79.38,21.4,296.34,156.7864,23.36448598
48.2,14.13,57.59,66.88,19.9,306.65,63.272,25.12562814
84.7,17.15,59.52,4.402,19,287.15,75.4996,26.31578947
94.5,21.32,60.03,66.258,19.1,254.03,88.4456,26.17801047
71,18.13,59.26,73.748,19.1,290.84,311.514,26.17801047
56.7,14.76,57.13,79.38,20.1,282.37,261.502,24.87562189
84,16.29,61.67,79.38,19.9,303.34,86.9758,25.12562814
90.7,12.87,62.29,79.066,19.6,309.93,80.7682,25.51020408
75,14.36,64.37,78.674,23.2,289.65,71.3736,21.55172414
67.6,11.66,69.8,74.936,29.8,253.29,92.9378,16.77852349
95.4,18.14,54.27,70.516,13.8,242.98,161.1158,36.23188406
97.4,24.1,61.62,60.552,13.3,220.6,127.8624,37.59398496
93.6,18.68,64.84,79.242,16.7,230.53,97.4282,29.94011976
97.3,24.91,53.04,69.896,12,210.07,300.468,41.66666667
96.7,18.03,61.85,75.94,14.6,217.05,204.66,34.24657534
88,13.11,62.29,76.664,21.4,195.12,286.674,23.36448598
64.7,10.74,62.42,79.38,23,342.42,116.4802,21.73913043
74.9,7.74,67.5,78.614,23.7,333.17,114.1636,21.09704641
77,7.01,70.61,79.056,25,341.06,114.6232,20
40.3,10.42,57.62,78.584,21.8,409.83,56.3676,22.93577982
41.9,13.34,58.71,74.146,20.6,372.4,47.5714,24.27184466
51.9,10.58,63.12,77.724,21.2,399.17,73.4734,23.58490566
79.8,14.98,61.14,78.536,19.1,354.59,113.835,26.17801047
53.2,11.45,59.05,77.644,20.6,315.23,96.7134,24.27184466
92.7,18.06,54.54,79.018,15.2,182.09,3.0172,32.89473684
98.3,23.97,54.14,68.81,7,175.54,3.6674,71.42857143
98,29.68,50.93,63.686,8.1,182.26,4.1492,61.72839506
98.8,18.07,59.83,78.022,13.6,186.81,2.1148,36.76470588
83.5,13.35,59.83,79.38,20.1,210.99,2.2264,24.87562189
54,12.01,57.07,79.38,21.8,238.17,3.4662,22.93577982
42.6,13.59,59.26,79.38,24.5,238.17,5.5914,20.40816327
28.8,17.6,56.7,78.658,23.1,279.86,3.5798,21.64502165
72.9,21.14,53.9,79.38,19.7,279.86,5.792,25.38071066
70.6,14.1,57.94,79.38,18.3,289.27,5.3676,27.32240437
65.3,12.92,60.19,79.38,21.2,240.91,4.7824,23.58490566
73.5,15.1,55.69,79.154,17.5,239.99,3.5566,28.57142857
79.7,14.33,60.27,79.38,16.8,249.82,4.4876,29.76190476
69.1,9.67,65.93,78.398,22.4,247.86,1.2526,22.32142857
76.7,9.08,61.2,79.38,20.6,228.75,0.9054,24.27184466
91,5.64,69.76,79.38,23.9,216.75,1.2152,20.92050209
89.3,6.48,67.94,78.69,22,238.89,2.1918,22.72727273
80.8,7.88,60.3,79.38,11.9,250.5,0.9482,42.01680672
